candidate_id,class_id,eligible,valid_fold_count,utility_median,utility_mean,utility_std
dwbg_0_42_23_000000_c22022,0,True,3,0.07171806585109533,0.14111954375898925,0.15271459248809985
dwbg_0_42_27_000015,0,True,3,-0.02273391732044767,-0.1408108472633056,0.32632937774252596
dwbg_0_42_31_000020,0,False,0,,,
dwbg_0_42_50_000038,0,True,3,0.03614770360447877,0.056177168548278644,0.18858191389472176
dwbg_0_42_51_000039,0,True,3,-0.5698762836507514,-0.4915028533885745,0.2975922565468925
dwbg_0_42_5_000002_c6006,0,False,0,,,
dwbg_0_42_62_000049,0,True,3,-0.9253356906285467,-0.5677520488786864,0.5302291089575605
dwbg_0_42_65_000052,0,True,3,-0.07873201454322633,-0.17939397882520558,0.16599898612636574
dwbg_0_42_75_000060,0,True,3,-0.30068585013895,-0.1520299049037437,0.33083617703651097
dwbg_0_42_7_000056,0,True,3,-1.0951284926020262,-0.8714101647600995,0.8568917733996572
dwbg_0_7859_11_000001_c12012,0,True,3,0.07426360546264345,0.09119613934880261,0.21406974521492955
dwbg_0_7859_17_000001_c1001,0,True,3,-0.433757787480616,-0.41795076170723705,0.17507807593631727
dwbg_0_7859_18_000002_c1001,0,True,3,0.007495093562101519,-0.11639314377963371,0.4496187468193214
dwbg_0_7859_21_000180,0,False,0,,,
dwbg_0_7859_37_000194,0,True,3,-0.7952370659387786,-0.5880962575215558,0.6259989162872102
dwbg_0_7859_41_000198,0,True,3,-0.783324686607981,-1.012996364978718,0.8338994009846029
dwbg_0_7859_45_000202,0,True,3,-0.9852246163062683,-0.8838407080385284,0.5840750503834874
dwbg_0_7859_49_000206,0,True,3,-0.17794876522512898,-0.049796198899517106,0.28601842000248473
dwbg_0_7859_54_000211,0,True,3,-0.2745733171741159,-0.15326244926098212,0.24800822531799166
dwbg_0_7859_59_000215,0,False,0,,,
dwbg_0_7859_8_000232,0,True,3,-0.7469590642345997,-0.7241206664246875,0.6298538884184105
dwbg_1_12011_16_000320,1,False,0,,,
