instance_id,image,gt_index,fold,class,yolo_iou,yolo_conf,yolo_status,rtdetr_iou,rtdetr_conf,rtdetr_status
fold1:img_693_pre_part_1:0,img_693_pre_part_1.jpg,0,1,0,0.7449707840574691,0.6005048155784607,success,0.7658752964295819,0.06245486065745354,localized_low_conf
fold1:img_7241_pre_part_0:0,img_7241_pre_part_0.jpg,0,1,0,0.8644413142098244,0.6298275589942932,success,0.7853925106606493,0.08443275839090347,localized_low_conf
fold1:img_7734_pre_part_0:0,img_7734_pre_part_0.jpg,0,1,0,0.8573644738473241,0.7114265561103821,success,0.8916611640675264,0.7588099837303162,success
fold1:img_7953_pre_part_1:0,img_7953_pre_part_1.jpg,0,1,0,0.6606552321801513,0.777958333492279,success,0.7245820617416123,0.7531003952026367,success
fold1:img_8507_pre_part_1:0,img_8507_pre_part_1.jpg,0,1,0,0.6123239591692066,0.5502442121505737,success,0.7706332869809976,0.0705757811665535,localized_low_conf
fold1:img_879_pre_part_1:0,img_879_pre_part_1.jpg,0,1,0,0.6986055636440209,0.5071611404418945,success,0.7152325901704947,0.7281736135482788,success
fold1:img_8935_pre_part_0:0,img_8935_pre_part_0.jpg,0,1,0,0.711152668346328,0.26053401827812195,success,0.742390260251906,0.6464648246765137,success
fold1:img_900_pre_part_1:0,img_900_pre_part_1.jpg,0,1,0,0.7169119902655309,0.28758537769317627,success,0.8880041010082419,0.5994994044303894,success
fold1:img_9157_pre_part_1:0,img_9157_pre_part_1.jpg,0,1,0,0.7890574834352255,0.38230976462364197,success,0.8484355070625987,0.6701949238777161,success
fold1:img_9509_pre_part_0:0,img_9509_pre_part_0.jpg,0,1,1,0.8074714261942293,0.0011093973880633712,localized_low_conf,0.3152914410569316,0.01931791752576828,localization_failure
fold1:img_995_pre_part_1:0,img_995_pre_part_1.jpg,0,1,1,0.7064580308501139,0.7156097292900085,success,0.6429660519157205,0.037198711186647415,localized_low_conf
fold2:blackinst_15:0,blackinst_15.jpg,0,2,1,0.8337261968101164,0.5466230511665344,success,0.7834928579487925,0.7651499509811401,success
fold2:blackinst_15:1,blackinst_15.jpg,1,2,1,0.9465551529136714,0.7217500805854797,success,0.8903845376177667,0.10224433988332748,localized_low_conf
fold2:blackinst_16:0,blackinst_16.jpg,0,2,1,0.9026242600427402,0.7087969183921814,success,0.9064862558570883,0.08732208609580994,localized_low_conf
fold2:blackinst_16:1,blackinst_16.jpg,1,2,1,0.7911965124704202,0.5617424845695496,success,0.8300839714054918,0.29939788579940796,success
fold2:blackinst_16:2,blackinst_16.jpg,2,2,1,0.7862922858832398,0.13145661354064941,localized_low_conf,0.9370219870555503,0.0923888236284256,localized_low_conf
