candidate_id,class_id,scale_bin,contrast_bin,morphology_bin,median_confidence,median_iou,std_confidence,std_iou,weakness_score,boundary_score,manifold_score,consensus_score,anchor_score,final_score,manifold_valid,selected,selection_group
dwbg_0_42_65_000052,0,large,high,medium,0.1164904236793518,0.43152564764022827,0.1437520533800125,0.2122991681098938,0.1935483870967742,0.0,0.6497994532112269,0.16859496331290724,0.037816633093676305,4.162755151877915e-14,True,False,
dwbg_0_42_66_000053,0,medium,low,compact,0.08606762439012527,0.5311620831489563,0.0973198264837265,0.2539852261543274,0.1944304435483871,0.07981674569404733,0.756157150895911,0.17264371426560665,0.04045148555814381,0.0011978398928384217,True,False,
dwbg_0_42_67_000054,0,medium,low,medium,0.0,0.0,0.0,0.0,0.2040070564516129,0.0,0.5120236636684203,1.0,0.11638327433800723,7.474467171553711e-14,True,False,
dwbg_0_42_68_000055,0,tiny,low,elongated,0.001067976001650095,0.0,0.0005247642984613776,0.0,0.2282006048387097,0.0,0.1145119163569585,0.9973796177186887,0.025659425526962428,8.831267901661356e-15,False,False,
dwbg_0_42_7_000056,0,tiny,low,elongated,0.027277199551463127,0.7956200242042542,0.015688523650169373,0.007153688929975033,0.2282006048387097,0.0,0.631413293679465,0.8920696532026015,0.13881515652601664,1.0814009725181627e-13,True,False,
dwbg_0_42_71_000057,0,large,medium,medium,0.0,0.0,0.0,0.0,0.20161290322580647,0.0,0.4472747234279173,1.0,0.10181858105602679,6.030868475873164e-14,True,False,
dwbg_0_42_73_000058,0,tiny,medium,elongated,0.0,0.0,0.02312953770160675,0.0,0.2338709677419355,0.0,0.5559938608701316,0.8907890032228427,0.11044389978195975,9.151003693278238e-14,True,False,
dwbg_0_42_74_000059,0,tiny,medium,elongated,0.22570407390594482,0.5517606735229492,0.12283257395029068,0.03343857079744339,0.2338709677419355,0.7647286430076475,0.5793017810445908,0.45778496047554784,0.13120575996922318,0.04665792323917185,True,True,hard
dwbg_0_42_75_000060,0,tiny,high,elongated,0.0015581443440169096,0.0,0.0014446853892877698,0.22010070085525513,0.22580645161290325,0.0,0.7133257755947441,0.33030892329482525,0.053109003341289485,7.818588839530738e-14,True,False,
dwbg_0_42_8_000061,0,tiny,low,compact,0.0,0.0,0.03212105855345726,0.3227524161338806,0.22265625,0.0,0.5676227858887521,0.1695907031538433,0.021622920278821744,3.9212600256957205e-14,True,False,
dwbg_0_42_9_000062,0,large,low,elongated,0.19723252952098846,0.37404483556747437,0.14473946392536163,0.0459783561527729,0.1919102822580645,0.0,0.6442670181193961,0.3853554590483689,0.11408672841563558,6.160668646230095e-14,True,False,
dwbg_1_42_10_000063,1,tiny,high,elongated,0.03614475950598717,0.0,0.06174561008810997,0.15956510603427887,0.7458333333333332,0.0,0.6598122125653385,0.3306967189373516,0.0034472877455524317,1.9852177585080758e-05,True,False,
dwbg_1_42_13_000064,1,tiny,medium,elongated,0.0,0.0,0.0,0.0,0.775,0.0,0.6303143055186067,1.0,0.007047778776423993,3.414194824255274e-05,True,False,
dwbg_1_42_14_000065,1,tiny,medium,elongated,0.0014964580768719316,0.3718019425868988,0.002053996082395315,0.1898997575044632,0.775,0.37846270302490664,0.6535304071949561,0.38298143332517953,0.0028317736590107744,0.13723081919563246,True,False,
dwbg_1_42_15_000066,1,medium,high,elongated,0.2293403148651123,0.5666058659553528,0.08972849696874619,0.1015954241156578,0.6958333333333333,0.8900567298037636,0.7683640612282623,0.3841894051493855,0.023373696560518194,0.22860722156728305,True,True,hard
dwbg_1_42_16_000067,1,medium,high,elongated,0.0019393748370930552,0.3833814561367035,0.0273666400462389,0.18245024979114532,0.6958333333333333,0.3793979630716977,0.6883419257383833,0.35025828161138656,0.003182640467303208,0.1208386547195736,True,False,
dwbg_1_42_2_000068,1,tiny,high,elongated,0.0020363135263323784,0.43298351764678955,0.0010181608377024531,0.20916089415550232,0.7458333333333332,0.379602807308626,0.5074342647089854,0.3496245988034412,0.002142455773500511,0.08481996069437613,True,False,
dwbg_1_42_20_000069,1,large,medium,elongated,0.022702833637595177,0.0,0.014360344968736172,0.3164871335029602,0.7500000000000001,0.0,0.6722657931100469,0.19123783954825,0.0018120209270979944,1.5656343093126226e-05,True,False,
dwbg_1_42_23_000070,1,medium,medium,elongated,0.0010355582926422358,0.0,0.0011928359745070338,0.2658606767654419,0.725,0.0,0.6457408339208995,0.2630877732999363,0.0021172498878941964,1.6430270662363866e-05,True,False,
dwbg_1_42_24_000071,1,tiny,low,medium,0.0,0.0,0.0016841732431203127,0.0,0.7833333333333332,0.0,0.5680105081582865,0.9916144899654816,0.006180151563467212,2.955465531994736e-05,True,True,anchor
dwbg_1_42_26_000072,1,tiny,medium,elongated,0.04653658717870712,0.4542860686779022,0.013577369973063469,0.014127872884273529,0.775,0.47868125409903683,0.4433756376881152,0.8706404277521939,0.006227648336085152,0.13003280103270667,True,False,
dwbg_1_42_27_000073,1,tiny,high,elongated,0.009986171498894691,0.14625385403633118,0.0007322729798033834,0.02124522626399994,0.7458333333333332,0.2320059390504353,0.6456908014388478,0.8959349256934271,0.0074375598118860175,0.1523657548796222,True,False,
dwbg_1_42_29_000074,1,tiny,medium,compact,0.003991603385657072,0.0,0.0014543337747454643,0.10171283781528473,0.7958333333333333,0.0,0.589936067767604,0.5970013776623018,0.0038710898025025807,2.4855830494458958e-05,True,True,anchor
dwbg_1_42_3_000075,1,large,high,compact,0.0,0.0,0.0,0.0,0.7416666666666666,0.0,0.44379668452775217,1.0,0.005317140274539637,1.8883792560293218e-05,True,False,
